goal;sdt-cluster;title;description;gpt_sector;gpt_sector_reason;source;label_manual
I would like to engage in activities which are close to where I live;autonomy;Translation from English to Arabic;We need the help of an Arabic speaking person to translate an English document (6 pages long). ;Bildung;Sprachübersetzung;UN;1.0
I would like to practice religious traditions.;autonomy;Volontariato in asili pubblici;"Activity description
        The hosting organizations are two municipal kindergärten, providing everyday care and education to children aged 3 – 6. Kindergarten 4 offers also integration classes to children with developmental disorders or mild disabilities. Currently both kindergärten host also children of Ukrainian refugees. Your main activities will be didactic and outdoor ones, free play, accompanying of children and teachers in excursions, help in organizing events and art activities, and support during the times of meal and self-care activities. The main idea behind volunteering in the kindergärten is to implement an intercultural aspect to the education program. You will assist teachers but, besides that, there is a lot of space for your personal initiatives, such as organizing workshops, presentations and classes which introduce your culture and language to the local people. You’ll be also called to teach foreign languages (mostly English) in an informal way through games and exercises.                    Accommodation, food and transport arrangements
        You’ll share a studio with another E.S.C. volunteer of your same gender: the studio is provided with kitchen and bathroom. You’ll receive a food allowance of 150 euros per month, which in Poland is enough to buy and cook on your own, and 180 euros as pocket money. As Przasnysz is a small town, one can go everywhere by walking.The travel from Italy to Poland and back is reimbursed. Your worktime will be 30 – 38 hours per week, usually from Monday to Friday. An insurance coverage against all risks is provided by the program                    Training during the activity
        You will attend 3 official training sessions: a pre-departure training before leaving Italy, an on-arrival training in a few weeks after your advent in Poland, and a mid-term training, at half of your volunteering period. At the beginning of the project and every 2 months you’ll participate in additional meetings and trainings hold by the hosting organization, to know the staff and the other E.S.C. volunteers, and about topics such as intercultural education, non-formal learning, cultural adaptation and communication. You’ll receive support to follow a Polish language online course provided.                    Participant profile
        We’re looking for reliable and diligent youngsters, friendly and able to establish relationships with people easily. We expect you love to work, putting in game all your patience and enthusiasm, with small children. More requirements are: to possess a communicative level of English, and to be able to create and implement ideas and initiatives of your own in an independent way.";Bildung;Kinderbetreuung, interkulturelle Bildung;EU;0.0
I would like to work toward the SDG;autonomy;UN University Volunteer in Digital Media;"Under the direct supervision of Communications Assistant of Communications Unit, the UN University Volunteer will undertake the following tasks: 
•	Website Management
a)	Contributes to regular content updates to ensure accuracy, relevance, and engagement, under the guidance of the team lead.
b)	Assists in the development of new content sections that highlight UNDP Indonesia activities. 
c)	Supports technical maintenance and functionality checks by collaborating with the ICT Team, enhancing technical skills and understanding of website infrastructure.
d)	Helps monitor website traffic and user engagement metrics, learning to use analytics tools to optimize website performance and user experience.
e)	Engages in the content management workflow, which includes scheduling, publishing, and archiving web content, as part of a team.
f)	Contributes to ensuring website accessibility, supporting efforts to make the web-site usable by people with disabilities, and learning about web accessibility standards.

•	Social Media Management:
a)	Helps in creating interesting and timely posts on various social media platforms.
b)	Supports monitoring of social media conversations and participates in engaging with the audience to enhance interaction and community building, under the super-vision of senior team members.
c)	Participates in content planning meetings, contributing ideas and learning about strategic communication and campaign planning.
d)	Supports the management of social media calendars, helping to schedule posts and campaigns, and learning about content timing and audience peak times.
e)	Assists in responding to comments and inquiries on social media platforms.
f)	Engages in training sessions on the latest social media tools and trends, enhancing skills in the use of technology for effective social media management.

Furthermore, UN Volunteers are required to:
•	Strengthen their knowledge and understanding of the concept of volunteerism by reading relevant UNV and external publications and take active part in UNV activities (for in-stance in events that mark International Volunteer Day);
•	Be acquainted with and build on traditional and/or local forms of volunteerism in the host country;
•	Reflect on the type and quality of voluntary action that they are undertaking, including participation in ongoing reflection activities;
•	Contribute articles/write-ups on field experiences and submit them for UNV publications/websites, newsletters, press releases, etc.;
•	Assist with the UNV Buddy Programme for newly-arrived UN Volunteers;
•	Promote or advise local groups in the use of online volunteering or encourage relevant local individuals and organizations to use the UNV Online Volunteering service whenever technically possible.

";Bildung;Digital Media Management;UN;0.0
I would like to ensure justice and fairness.;autonomy;Dobrovolnictví v Kamarádu Nenudovi 2024;"Activity description
        A 12 months project for 2 volunteers. The purpose of the project is to help volunteers to enhance their skills, self-independence, prepare them for future jobs, give them experinces in various fields and support them in vast line of areas. Volunteers will have an opportunity to prepare, implement and evaluate activities in the area of work with youth, adults, children´s group and additional areas, as bigger scale events for families, summer camps, workshops, czech language studies and language conversations. Volunteers will be in contact with public, school facilites and partner organizations in the region, so they´ll have a wide range of possibilities to execute their ideas for personal projects and create new relationships and contacts. Volunteers will work 35 hours a week, so there is a plenty of personal time to discover our culture and country if he´s interested. Our organizations has experiences from previous projects. Our organization possesses a multisenzory room Snoezelen.                    Accommodation, food and transport arrangements
        Volunteer´ll have his own room in a three-floor shared house, cca 10 minutes by bus from the organization. There is a shared bathroom and kitchen. The accommodation is furnished in simple way, but contains everything the volunteer´ll need in everyday life.
Every month volunteer receives food and pocket money according to the rules of the programme. There are a lot of restaurants and food shops around the organization. Volunteer gets a local transport ticket or can use a bike. Travel expences are paid according the rules of the project.                    Training during the activity
        Volunteers will be supported by coordinator and employees of the organization. A possibility of czech language teacher is available. On arrival and mid-term trainings will be prepared by czech NA. Regular meetings with the coordinator will take place in the organization, as well as regular evaluation of choosen objectives. Throughout the project volunteer will fill a Youthpass and can enhance his language abilities and social, digital, creative, entrepreneurial and other competencies.                    Participant profile
        We expect an active, motivated young person, who is able to work in team, interested in work with children, youth and adults and who wants to implement his own ideas. The positive approach and responsibility are important. He/she should be able to communicate in English or German. We are looking for somebody, who preferably has previous experiences in work with kids (preeschool age). Tell us about it in the motivational letter.:)";Bildung;Workshops, language studies, youth work;EU;0.0
I would like to be selfless, to put others first.;autonomy;Volunteering in Klubicko 2023/2024;"Activity description
        We are searching for 2 volunteers who are strongly motivated to work with children in the field of creativity and cultural enrichement. Klubicko Kromeriz is a Family Center located in the east of the Czech Republic in town Kromeriz. The 2 volunteers will join our daily activities such as: Afternoon club for elementry school aged kids, Kindergarten for preschoolers, Nursery for toddlers, Free time activites – English, French, Montessori Morning and Afternoon Groups, Folklor Dance Classes, Mornings with mothers and toddlers – everything for children, Summer camps during July and August. Volunteer will also be able to participate in the partner organizations projects which generally take place in local primary schools, secondary schools, grammar schools and the library.
                    Accommodation, food and transport arrangements
        Working hours: 35 hours per week, 2 days off per week. Flexible working hours, standart is 7 hours per 5 working days in a week
Vacation days: 2 days per month = 24 days per project
Food: 170,- CZK per day = app 220 € per month as per the number of days in a month, except for the National Agency seminar days (the food offered by the organizer of the seminar).
Pocket money: 6 € per day
Accommodation paid by project: In a rented non-smoking flat Albertova street. Living in a single room in a shared flat – 3 rooms. Kitchen, bath room and WC are shared. 4th floor / no lift.                    Training during the activity
        Volunteers will be trained in the care of preschool children in the Czech Republic, which also includes information about possible cultural differences between the Czech Republic and the countries of the volunteer. They will also be trained in the prevention of injuries to children.                    Participant profile
        We are looking for volunteers aged between 18 and 30 years STRONGLY MOTIVATED TO WORK WITH CHILDREN 3 -15 YEARS OLD.   We seek a balance of varied ages, genders and nationalities amongst our volunteers.  All candidates from the European Union must be registered in European Solidarity Corps database.  No specific knowledge, skills or experience is required as the necessary ones can be acquired during the project. We are not looking for experienced volunteers but those who would learn a lot during the service and 
are strongly motivated to work with children";Bildung;Working with children and cultural enrichment.;EU;1.0
I would like to have wisdom, a mature understanding of life.;autonomy;Energy-creativity-solidarity (intercultural education in Library);"Activity description
        Project with 8 volunteers, in libraries, and educationan center 3 Pietra 
1. LIBRARY Target group:Seniors/Children/General public TASKS: conducting lessons or conversations in english and/or your native language, offering workshops with target group, presentations about different topics (most likely your native country and culture),working front office and back office library work, cooperation with other institutes, creating social media content, implementing own ideas You will work on some tasks on your own,or with another volunteer in the same library Primary School; TASKS: Teaching your own language or/and english, Making presentation about your culture, Going to cultural events with your group,Supporting the teacher in their work,Chance to make your own workshops Teamwork/alone work? High probability to be the only volunteer with your group of children,Collaboration with the teacher Opportunity to work with other volunteers from kindergartens and libraries                    Accommodation, food and transport arrangements
        We rent flats with basic equipment for all volunteers, equipped with furnitures, basic home appliances, linen, etc. We provide things connected e.g.with public transport card, buying chemistry and help in everyday situations. We have also team of mentors who help volunteers from the beginning. Volunteers get monthly pocket money for food. Travel costs are covered (to some limitation) from the project. Everything according to the rules of European Solidarity Corps programme.                    Training during the activity
        Organized by NA: On Arrival training and Mid-Term training. Organized by Foundation: Each Wednesday volunteers have mentioned ""Common Wednesday"" to participate in activities prepared by us - like workshops about personal development, personal reflection, about making projects, how to work with different groups, how to teach language, getting new skills, cooperation with art school,visiting other organisations, schools, etc and their own ideas. You will also receive a lot of practical support every day in your host organization from your coordinator with whom you will be daily3 Floors                     Participant profile
        Are you... 18 to 30 years old? from European country - EU or non? available 10-12 months and starting after  September? interested in educational work with various groups, especially children and seniors? ready to support administrative work? able to communicate at least at a basic level of English? open-minded and willing to live and work in a very diverse environment? ready to work 35 hours weekly as volunteer? ready to handle challenges and changes ? 
If you are interested - please fill link  https://forms.gle/tLpHQqL5sGvBssnQ9";Bildung;Interkulturelle Bildung in Bibliotheken;EU;1.0
I would like to be selfless, to put others first.;autonomy; Teach For Austria Campus Leader;How you can get involvedWhat is a Teach For Austria Campus Leader?Campus Leaders are an indispensable part of the Teach For Austria recruitment strategy. Take responsibility for your campus in the summer semester of 2023 and find outstanding students and graduates for the Fellow program.Take responsibility. Develop perspectives.You play a fundamental role within a dynamic educational NGOYou are a decisive factor for the quality of the 2023 fellow classYou expand your personal and professional networkEvents with fellows, decision-makers from politics, business and sponsors of Teach For Austria await youYou take part in workshops and communication trainingYour profileIdentification with the goals of Teach For AustriaExcellent oral and written communication skillsVery strong planning and organizational skillsCreative, goal-oriented and ready to take on responsibilityCampus Leader: Become part of the movementsBe an ambassador for Teach For AustriaDevelop and implement recruitment strategiesBuild networks with professors and student organizationsDesign marketing and communication campaignsReceive training and support from Teach For Austria and the Campus Leader teamBecome part of the global educational movement Teach For All What you get from the institution for your commitment ECTS points / recognition for your academic achievement Enrollment Volunteer coordination/continuous support Proof of volunteer work Use of the facility's offerings Participation in internal events (e.g. parties) Further training opportunities Teach For Austria Contact personMichael ThalerRecruitment Manager+43 699 16 45 65 01michael.thaler@teachforaustria.at Always stay up-to-date with our newsletter Tips for your voluntary work, current volunteer opportunities or exciting events directly in your inbox.;Bildung;Campus-Rekrutierung für Bildungsprogramm.;ULF;0.0
I would like to be selfless, to put others first.;autonomy;BLUE HORIZON;"Activity description
        The primary objective of the project is to foster the participation of children and young individuals in community affairs while supporting endeavors that advance active citizenship, sustainable development, and non-formal education.The initiative engages 12 ESC volunteers,  who will assist in facilitating community mini-projects initiated voluntarily by children and young people, with guidance from the ESC volunteers.Recognizing the significance of civic engagement among children and youth within their communities, the project seeks to nurture their development as future adults while also contributing to the broader societal fabric, which often grapples with passivity and a dearth of civic involvement.The project operates on the premise that active participation is best cultivated through practical engagement rather than mere instruction in norms and rules. Thus, the emphasis is on hands-on involvement within the community.
                    Accommodation, food and transport arrangements
        Get ready for a cozy adventure, volunteers! You'll bunk up in fully furnished apartments (3 to 4 volunteers per pad) with a communal kitchen, bathroom, and dorm area.Roomies will be of the same gender for extra fun and comfort.Your cozy setup includes bed sheets, a pillow, and a blanket - just BYOT  (Bring Your Own Towel)!The kitchen is stocked with the essentials for your culinary masterpieces - plates, cutlery, pots, glasses, and cups.Enjoy complimentary utilities, as long as you're a responsible user.Volunteers are in charge of snagging cleaning supplies for the house.                    Training during the activity
        Volunteers will attend the On-Arrival Training and Mid-Term Meeting, organized by the Romanian National Agency. Volunteers will receive mentorship sessions throughout the project and Romanian language classes. They will receive ongoing support from activity coordinators, teachers and staff of our organization.                    Participant profile
        Are you a spirited soul aged 18 to 30, itching to sprinkle some positivity and snag worldly adventures? Here's the scoop for volunteering:
Dive into learning and pour your heart, soul, and crazy ideas into our gig. Spoiler alert: the love you give will boomerang back!
Get ready to high-five kiddos aged 3 to 18.Gear up for some quality time with the golden-agers. If you're a go-getter with oodles of creativity and charm, you're our hero.We're on the lookout for eco-warriors with a soft spot for mingling with all kinds of peeps, from tiny tots to wise old souls.";Bildung;Förderung von aktiver Bürgerschaft;EU;1.0
I would like to be honest.;autonomy;Intercultural and inclusive work with pupils;"Activity description
        Young adults from Europe are going to work with pupils on self planned and executed Projects at Richtsberg Gesamtschule Marburg, thereby improving their language skills and getting a better understanding for multicultural Environments. It is a big School with many Options to get creative working ideas. The volunteers will take part in the everyday classes as well as afternoon activities. After a time of familiarization under tutelage by experienced staff members, these activities will be done by the volunteers in cooperation with the pupils. Inclusion will be a permanent part of the volunteers work, the School is an inclusive and barrier free workplace. Possible activities may include a trip to the volunteers homecountry, a presentation of the work results achieved together with pupils, the implementaton of certain Project aims in the daily life in School, neighbourhood or town.  Native Speaker of English, French or Spanish are preferred.                    Accommodation, food and transport arrangements
        There is an apartment rented excluyively for the volunteers by the School. It is situated near the old town of Marburg. The volunteer may eat at the Schools Cafeteria to highly reduced Prices. Transport to School will be by public Transport or bike. Marburg is not a big City, you can do everything on foot, by bike or by bus.                    Training during the activity
        Key words like tolerance and solidarity are pursued core competences for everybody attending this School. To work on these subjects will be the main task for the volunteers joining the School.This may be defined as theatrical work, a Musical Arrangement or something related to the arts in General, but also Dance, Sports, etc. the volunteers and the Kids shall be creative in their Projects. Last but not least, one of the main goals is improving the language skills of all volunteers and Kids involved, exchanging knowledge of german, english, spanish and/or French during the Project process.                    Participant profile
        Young adults between 19 and 29 from all over Europe. Native Speaker of English, French or Spanish are preferred, you will work mainly in language teaching courses. Strong interest in working with kids in an educational environment is recommended. Readiness to learn german quickly and to be selfreliant.";Bildung;Interkulturelle Arbeit mit Schülern;EU;0.0
I would like to have a fun time;autonomy;KIDS IN ACTION 11;"Activity description
        Kids in Action 11 - United in Solidarity ESC volunteering project will host 2 volunteers from different programme countries to join our long-term volunteering project, which will connect youth daily center (BLOK) and learning program for youth (PUM-O+) in the Škofja Loka area, Slovenia, by incorporating the international volunteers into their everyday work for the period between September 2024 and August 2025. Chosen volunteers will attend the program of their host organizations and assist staff with their daily activities, which consist of educational (languages, multimedia...), creative (music, painting) lectures, leisure activities (social and sports games...), learning help, excursions, hikes, visits to exhibitions, shows. More Info: https://familija.eu/wp-content/uploads/2024/04/Infopack_final_2024-s.pdf                    Accommodation, food and transport arrangements
        The volunteers will be accommodated in the flat located on the main square of Škofja Loka, old historical town with about 13000 inhabitants, located 25 km NW from Ljubljana. Each volunteer will stay in single bedroom with shared cooking, washing, laundry and social facilities. Volunteers will cook by themselves, monthly food allowance will be provided (200 €). They will be also entitled to receive a monthly allowance of 150 €. To each of the volunteers, the bike will be provided and tickets for public transportation (if needed).                    Training during the activity
        On-arrival and Mid-term training organized by Slovenian National Agency, all the training organized by cordinating and hosts organizations and by some other partner organizations from the local community.                    Participant profile
        Candidates should be motivated, flexible, patient, creative, open-minded, self-initiative, communicative, interested to work with children, adolescents and they should be able to speak English. Some past experiences from pedagogy, psychology and youth leisure are welcomed. Ability in music, sport, manual activities, handcrafts, dances, art, multimedia would be also convenient. Future volunteer should bring in her/his own ideas into the project and be prepared to create, plan and execute her/his own projects. We look for 2 volunteers of a different nationality.";Bildung;Youth center and learning program.;EU;1.0
